subID,task,label,stimulus_onset_s,n_tr,n_aligned_word_onsets,n_word_onsets_inside_run,n_word_onsets_outside_run
sub-302,piemanpni,piemanpni,12.0,294,985,985,0
sub-302,black,black,12.0,550,1539,1539,0
sub-303,piemanpni,piemanpni,12.0,294,985,985,0
sub-303,black,black,12.0,550,1539,1539,0
sub-304,piemanpni,piemanpni,12.0,294,985,985,0
sub-304,bronx,bronx,12.0,390,1356,1356,0
sub-304,forgot,forgot,12.0,574,2119,2119,0
sub-304,black,black,12.0,550,1539,1539,0
sub-305,piemanpni,piemanpni,12.0,294,985,985,0
sub-305,black,black,12.0,550,1539,1539,0
sub-306,piemanpni,piemanpni,12.0,294,985,985,0
sub-306,black,black,12.0,550,1539,1539,0
sub-307,bronx,bronx,12.0,390,1356,1356,0
sub-307,forgot,forgot,12.0,574,2119,2119,0
sub-307,black,black,12.0,550,1539,1539,0
sub-308,piemanpni,piemanpni,12.0,294,985,985,0
sub-308,bronx,bronx,12.0,390,1356,1356,0
sub-308,forgot,forgot,12.0,574,2119,2119,0
sub-308,black,black,12.0,550,1539,1539,0
sub-309,piemanpni,piemanpni,12.0,294,985,985,0
sub-309,bronx,bronx,12.0,390,1356,1356,0
sub-309,forgot,forgot,12.0,574,2119,2119,0
sub-309,black,black,12.0,550,1539,1539,0
sub-310,piemanpni,piemanpni,12.0,294,985,985,0
sub-310,bronx,bronx,12.0,390,1356,1356,0
sub-310,forgot,forgot,12.0,574,2119,2119,0
sub-310,black,black,12.0,550,1539,1539,0
sub-311,black,black,12.0,550,1539,1539,0
sub-312,piemanpni,piemanpni,12.0,294,985,985,0
sub-312,bronx,bronx,12.0,390,1356,1356,0
sub-312,forgot,forgot,12.0,574,2119,2119,0
sub-312,black,black,12.0,550,1539,1539,0
sub-313,piemanpni,piemanpni,12.0,294,985,985,0
sub-313,bronx,bronx,12.0,390,1356,1356,0
sub-313,forgot,forgot,12.0,574,2119,2119,0
sub-313,black,black,12.0,550,1539,1539,0
sub-314,piemanpni,piemanpni,12.0,294,985,985,0
sub-314,bronx,bronx,12.0,390,1356,1356,0
sub-314,forgot,forgot,12.0,574,2119,2119,0
sub-314,black,black,12.0,550,1539,1539,0
sub-315,black,black,12.0,550,1539,1539,0
