iFA,ROI_idx,#No.,Region,RegionLongName,Cortical Division,LR,idx,ROI_value_mean,p_value_mean,p_value_FDR_mean,significant_FDR_mean,label_FDR_mean,ROI_value_sum,p_value_sum,p_value_FDR_sum,significant_FDR_sum,label_FDR_sum,delta_mean_minus_sum,abs_delta,effect_sign_mean,effect_sign_sum,effect_sign_reversal,FDR_comparison
3,273.0,273.0,TE2p,Area_TE2_posterior,Lateral_Temporal,idx_R,273,-0.0356073006987571,0.4857977434495434,0.491256145061336,0,,0.0692983269691467,0.4723760787116826,0.4860088321247739,0,,-0.1049056276679038,0.1049056276679038,-1,1,True,neither
3,325.0,325.0,p24pr,Area_Posterior_24_prime,AntCing_MedPFC,idx_R,325,-0.0386887267231941,0.4845692807265184,0.491256145061336,0,,0.0655737072229385,0.4738586113216546,0.4860088321247739,0,,-0.1042624339461326,0.1042624339461326,-1,1,True,neither
4,40.0,40.0,SCEF,Supplementary_and_Cingulate_Eye_Field,ParaCentral_MidCing,idx_L,40,-0.2503697872161865,0.4011506960028801,0.4389490898511758,0,,0.0887189358472824,0.4646526416238238,0.4820603774771659,0,,-0.33908872306346893,0.33908872306346893,-1,1,True,neither
4,132.0,132.0,RSC,RetroSplenial_Complex,Posterior_Cingulate,idx_L,132,-0.1452490389347076,0.4422571244795654,0.4614856951091117,0,,0.2434706091880798,0.4038204253267478,0.4456707277166706,0,,-0.3887196481227874,0.3887196481227874,-1,1,True,neither
4,202.0,202.0,MST,Medial_Superior_Temporal_Area,MT + _Complex,idx_R,202,-0.0269862823188304,0.4892353375858497,0.4933465589101006,0,,0.050586886703968,0.4798273561705191,0.4921306217133529,0,,-0.0775731690227984,0.0775731690227984,-1,1,True,neither
4,238.0,238.0,PFcm,Area_PFcm,Early_Auditory,idx_R,238,-0.2014737129211425,0.4201640910180927,0.4501758118050993,0,,0.1189269721508026,0.452666606359334,0.4739186780043741,0,,-0.3204006850719451,0.3204006850719451,-1,1,True,neither
4,261.0,261.0,PreS,PreSubiculum,Medial_Temporal,idx_R,261,0.0227798335254192,0.4909129471831434,0.4934435880824559,0,,-0.2220344245433807,0.4121435425940133,0.4497235438960464,0,,0.24481425806879992,0.24481425806879992,1,-1,True,neither
4,299.0,299.0,PGp,Area_PGp,Inferior_Parietal,idx_R,299,0.0139746172353625,0.4944251157860996,0.4944251157860996,0,,-0.0373085364699363,0.4851194995570914,0.4951749111188356,0,,0.0512831537052988,0.0512831537052988,1,-1,True,neither
4,301.0,301.0,23d,Area_23d,Posterior_Cingulate,idx_R,301,-0.0198715720325708,0.4920729114488935,0.4934435880824559,0,,0.1114208400249481,0.4556413175017242,0.4754518095670165,0,,-0.1312924120575189,0.1312924120575189,-1,1,True,neither
5,62.0,62.0,STGa,Area_STGa,Auditory_Association,idx_L,62,-0.343496173620224,0.3656126094663234,0.4476889095506001,0,,0.045278824865818,0.4819425327170973,0.4846349491009918,0,,-0.388774998486042,0.388774998486042,-1,1,True,neither
