Word,Lemma_spacy,PoS_tag_spacy,Spelling,DomPoSLemma,Dom_PoS_SUBTLEX,Pipeline_step,Pipeline_source,Lemma_before_step4,Step4_special_case,Lemma_pipeline_final
depressed,depress,VERB,depressed,depressed,Adjective,1,Step 1: SUBTLEX-UK,depressed,False,depressed
depressing,depress,VERB,depressing,depressing,Adjective,1,Step 1: SUBTLEX-UK,depressing,False,depressing
depths,depth,NOUN,depths,depths,Noun,1,Step 1: SUBTLEX-UK,depths,False,depths
deputes,depute,NOUN,deputes,deputes,Noun,1,Step 1: SUBTLEX-UK,deputes,False,deputes
dermis,dermis,PROPN,dermis,dermi,Noun,1,Step 1: SUBTLEX-UK,dermi,False,dermi
descried,descry,VERB,descried,descried,,1,Step 1: SUBTLEX-UK,descried,False,descried
deserving,deserve,VERB,deserving,deserving,Adjective,1,Step 1: SUBTLEX-UK,deserving,False,deserving
desiderata,desiderata,PROPN,desiderata,desideratum,Noun,1,Step 1: SUBTLEX-UK,desideratum,False,desideratum
desperadoes,desperadoe,VERB,desperadoes,desperado,Noun,1,Step 1: SUBTLEX-UK,desperado,False,desperado
destructing,destruct,VERB,destructing,destructing,,1,Step 1: SUBTLEX-UK,destructing,False,destructing
detailed,detail,VERB,detailed,detailed,Adjective,1,Step 1: SUBTLEX-UK,detailed,False,detailed
Detroit's,detroit',NOUN,,,,3,Step 3: spaCy fallback,detroit',True,Detroit's
deutschmarks,deutschmark,VERB,deutschmarks,deutschmarks,,1,Step 1: SUBTLEX-UK,deutschmarks,False,deutschmarks
deutzia,deutzia,NOUN,deutzia,deutzium,,1,Step 1: SUBTLEX-UK,deutzium,False,deutzium
DEVEY'S,devey',NOUN,,,,3,Step 3: spaCy fallback,devey',True,DEVEY'S
devouring,devouring,ADJ,devouring,devour,Verb,1,Step 1: SUBTLEX-UK,devour,False,devour
Dexter's,dexter',NOUN,,,,3,Step 3: spaCy fallback,dexter',True,Dexter's
dhobi,dhobi,NOUN,dhobi,dhobus,,1,Step 1: SUBTLEX-UK,dhobus,False,dhobus
DIAN'S,dian',NOUN,,,,3,Step 3: spaCy fallback,dian',True,DIAN'S
Diane's,diane',NOUN,,,,3,Step 3: spaCy fallback,diane',True,Diane's
diapering,diapere,VERB,,,Verb,2,Step 2: SUBTLEX-US + NLTK,diapering,False,diapering
DICK'S,dick',NOUN,,,,3,Step 3: spaCy fallback,dick',True,DICK'S
dickens,dicken,VERB,dickens,dickens,Name,1,Step 1: SUBTLEX-UK,dickens,False,dickens
DICKEY'S,dickey's,NOUN,,,,3,Step 3: spaCy fallback,dickey's,True,DICKEY'S
dickies,dickie,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,dicky,False,dicky
dictating,dictate,VERB,dictating,dictating,Verb,1,Step 1: SUBTLEX-UK,dictating,False,dictating
diddles,diddle,NOUN,,,Noun,2,Step 2: SUBTLEX-US + NLTK,diddles,False,diddles
dietetics,dietetic,VERB,dietetics,dietetics,,1,Step 1: SUBTLEX-UK,dietetics,False,dietetics
digging,dig,VERB,digging,digging,Verb,1,Step 1: SUBTLEX-UK,digging,False,digging
dignified,dignify,VERB,dignified,dignified,Adjective,1,Step 1: SUBTLEX-UK,dignified,False,dignified
dignifies,dignifie,NOUN,dignifies,dignify,Verb,1,Step 1: SUBTLEX-UK,dignify,False,dignify
dilapidated,dilapidate,VERB,dilapidated,dilapidated,Adjective,1,Step 1: SUBTLEX-UK,dilapidated,False,dilapidated
dilemmas,dilemmas,PROPN,dilemmas,dilemma,Noun,1,Step 1: SUBTLEX-UK,dilemma,False,dilemma
dilettanti,dilettanti,VERB,,,Noun,2,Step 2: SUBTLEX-US + NLTK,dilettante,False,dilettante
DIMAN'S,diman',NOUN,,,,3,Step 3: spaCy fallback,diman',True,DIMAN'S
dimmest,dim,ADJ,dimmest,dimmest,Adjective,1,Step 1: SUBTLEX-UK,dimmest,False,dimmest
dimpled,dimple,VERB,dimpled,dimpled,Adjective,1,Step 1: SUBTLEX-UK,dimpled,False,dimpled
