idx,Word,Lemma,PC1_n8,PC2_n8,PC3_n8,PC4_n8,PC5_n8,PC6_n8,PC7_n8,PC8_n8
42688,grin,grin,0.17349000780651505,0.25239727556461783,0.09620464498012862,0.0531645620424077,-0.09123525049874624,0.15175610102982898,-0.1532158972142253,0.16161314673937288
42690,grind,grind,0.005488133082722364,0.17886672875694073,-0.11423822835489744,0.10550840872636377,-0.03008316887766552,-0.14488854645219298,0.06745832957681865,0.23705492940392994
42695,grinding,grind,0.08142817181356855,0.13303739448818863,-0.2361984823060244,0.08950326222155769,-0.04420238272768213,-0.19263435327811324,-0.012935115896357515,0.12243328472723942
42699,grinds,grind,-0.009450489867005389,0.22256618037862178,-0.20949533738183831,0.14542802560154652,0.03147629747950586,-0.08846802693353542,0.12026382452909876,0.03165986577530696
42704,grinned,grin,0.06859476339013465,0.40284456617278047,0.09081536945871327,-0.10402180137500618,-0.08944312175714529,0.2593933763547443,-0.10906555176072304,0.007319940393180562
42706,grinning,grin,0.12835451111804375,0.43343553780811067,0.1130842981328873,-0.030564872856519956,-0.03324138499385108,0.16582080653117137,-0.06982942854497982,0.022539114930588407
42708,grins,grin,0.15784128901708802,0.28928807312605187,0.10737215511614837,0.07474945820916193,-0.03087399170534588,0.1900684203320877,-0.10109023665055693,0.0870681784547931
42711,grip,grip,-0.01663998598994958,0.08818669370439378,-0.12587637398704543,0.08650285334101382,-0.09022052862387758,-0.1066010732950357,-0.1495592054340658,0.1270495477900597
42719,gripped,grip,-0.10582805666988007,0.2706574501189267,-0.021009994695041206,-0.03461329881854244,0.14059329127074285,-0.17003560357182995,-0.029294852270532506,-0.1338879275180459
42721,gripping,grip,-0.0018887964534442332,0.18764859209026363,-0.07294550971417572,0.19472693891396148,0.09632069236978981,-0.09854797725842883,-0.12939235089568632,0.009699648468920734
42723,grips,grip,-0.07511128941746421,0.10220825474444832,-0.05247781390819875,0.14147125362039314,-0.03589124527594637,-0.058341760028317216,-0.027890701221207986,0.041591103213455986
42747,gritty,gritty,0.03896150233471536,0.19286189066582968,-0.0008399758659010274,0.11453274237421199,0.19963804451235373,-0.10246989921746189,-0.05503065890661816,0.21151986424592917
42752,grizzlies,grizzly,0.14462059887428494,0.012457875072944288,0.028534334975346395,-0.02259031537686247,-0.06646411814739403,-0.15039868126704903,-0.0740064986144795,0.017350945569178437
42754,grizzly,grizzly,0.14462059887428494,0.012457875072944288,0.028534334975346395,-0.02259031537686247,-0.06646411814739403,-0.15039868126704903,-0.0740064986144795,0.017350945569178437
42755,groan,groan,0.0750984672512131,0.3023171960580056,0.06834617207266935,0.12546754008972938,-0.09705787624806997,-0.07397715718745847,-0.0496522251338759,0.032508488155591986
42756,groaned,groan,-0.00622271820206094,0.3925815156307442,0.023930077788390944,-0.07130677845474373,-0.08212288375466939,0.04073048061406705,-0.08915942797071263,-0.06322727208633944
42758,groaning,groan,0.050672421119380494,0.3172740301543473,0.015652178945113296,0.044084491285810386,-0.0047566018070467385,-0.13335702915432152,0.012219530608443635,-0.0434099863386725
42760,groans,groan,0.0750984672512131,0.3023171960580056,0.06834617207266935,0.12546754008972938,-0.09705787624806997,-0.07397715718745847,-0.0496522251338759,0.032508488155591986
42765,groceries,grocery,0.10138760380183362,-0.09752691054935239,0.0346607509152315,-0.2629653401427466,-0.15896756311185756,0.04980523987492528,0.21551601785177518,0.13241645724616716
42767,grocery,grocery,0.05944158139357415,-0.1276737295593074,0.004518826463393371,-0.19610395754586202,-0.11084686878499678,0.013116887733934735,0.21859773424051768,0.09193216292148207
42787,groom,groom,0.08446986333017653,0.06012305583191167,0.14338017275628703,-0.11492328011753129,-0.009005182976610128,0.11564420908763114,0.0619919138610724,0.022708150750782804
42788,groomed,groom,-0.02677567799365545,0.1334941896830854,0.03306374313627722,-0.0603106653660973,0.13590451821493815,0.10803185538831078,0.09495515315443365,-0.00908394759245878
42790,grooming,groom,-0.00028726714800085974,-0.014984316728685103,0.022003963011677275,-0.012005670640597743,-0.030615118301950604,0.10201525631166367,0.12033886367431977,0.0777616173078709
42791,grooms,groom,0.08425554115201543,-0.010200930216950158,0.0873344808886943,-0.09016384399454576,0.08513430206403885,0.11455722461547295,0.08952190350827947,0.050291248736936356
42795,groove,groove,0.16560961182812078,0.13782011926127782,-0.12578734688349044,0.14242690883696735,0.044229246313803844,0.0476276022784059,-0.18568023436945236,0.27454782774604275
42796,grooved,groove,0.20395206557064316,0.1758826016225346,-0.2628523941165435,0.0705417950708615,0.12185620130272803,0.14977355750398375,-0.13279902311272637,-0.011406702799815012
42799,grooves,groove,0.2808156997369984,-0.05546009654704685,-0.17042186253406022,0.19461412106264564,0.06799972946052422,0.04418981332624014,-0.1816577356032854,0.03159586729608019
42802,grooving,groove,0.16560961182812078,0.13782011926127782,-0.12578734688349044,0.14242690883696735,0.044229246313803844,0.0476276022784059,-0.18568023436945236,0.27454782774604275
42808,groping,grope,-0.031090870722322802,0.1873158689984251,0.07097046002928653,0.018490155859149714,-0.06017525186792258,0.0022805479246770805,-0.09153783245879982,-0.09802138214492635
