idx,Word,Lemma,embedding_source,embedding_lookup,vector_norm_raw
2445,alley,alley,Word,alley,3.0365982775710285
2446,alleys,alley,Word,alleys,3.2462382366378213
2452,alliances,alliance,Word,alliances,3.2365801425066527
2454,allies,ally,Word,allies,2.9657874621601787
2455,alligator,alligator,Word,alligator,3.898883331954897
2456,alligatored,alligator,Lemma,alligator,3.898883331954897
2457,alligators,alligator,Lemma,alligator,3.898883331954897
2508,allow,allow,Word,allow,2.1857813805991717
2512,allowance,allowance,Word,allowance,3.6071856495336982
2513,allowances,allowance,Word,allowances,3.2185914052915976
2514,allowed,allow,Word,allowed,2.4755900511472384
2516,allowing,allow,Word,allowing,2.316566082205069
2517,allows,allow,Word,allows,2.9453328634572338
2518,alloy,alloy,Word,alloy,3.8271897230441896
2519,alloyed,alloy,Lemma,alloy,3.8271897230441896
2520,alloying,alloy,Lemma,alloy,3.8271897230441896
2521,alloys,alloy,Word,alloys,4.022955656974312
2576,aloft,aloft,Word,aloft,3.356393984700379
2579,alone,alone,Word,alone,2.107750198568044
2589,aloud,aloud,Word,aloud,2.8574359454938563
2639,altar,altar,Word,altar,3.483789298317465
2642,altars,altar,Lemma,altar,3.483789298317465
2644,alter,alter,Word,alter,2.742144290449898
2648,alteration,alteration,Word,alteration,3.196189277578882
2649,alterations,alteration,Word,alterations,2.960634711393947
2658,altered,alter,Word,altered,2.703511724347198
2659,altering,alter,Word,altering,2.726077960260279
2666,alternating,alternate,Word,alternating,2.9509187305069666
2669,alternative,alternative,Word,alternative,2.4836267210817162
2672,alternatives,alternative,Word,alternatives,2.8680101956461854
2675,alters,alter,Word,alters,3.303056869466183
2686,altitude,altitude,Word,altitude,3.882231724395277
2687,altitudes,altitude,Lemma,altitude,3.882231724395277
2768,amateur,amateur,Word,amateur,2.9451802696408658
2773,amateurs,amateur,Word,amateurs,2.9097711400876674
2781,amazed,amaze,Word,amazed,3.0752656198111747
2784,amazement,amazement,Word,amazement,2.99169078183508
2786,amazing,amazing,Word,amazing,2.721925873775921
2797,ambassadors,ambassador,Word,ambassadors,3.224318362062517
2813,ambiguities,ambiguity,Word,ambiguities,3.5873342499949867
2815,ambiguous,ambiguous,Word,ambiguous,2.7452376234701017
2819,ambition,ambition,Word,ambition,3.0011011723771777
2821,ambitions,ambition,Word,ambitions,3.066026721179383
2822,ambitious,ambitious,Word,ambitious,2.745617193284779
2846,ambulance,ambulance,Word,ambulance,3.572940426826031
