embedding_dimension,PC1_n8,PC2_n8,PC3_n8,PC4_n8,PC5_n8,PC6_n8,PC7_n8,PC8_n8
W2V_012,-0.058854994351307754,-0.027112294174880956,-0.03002194706172645,0.01690977833514054,0.06634697418145996,0.03127858303098252,-0.018335829477058585,0.07098796931389881
W2V_013,0.002685994709771245,0.012976542534040944,-0.06117909259459212,0.01966159782628095,0.011801880384753993,0.025793182062202644,-0.027126787970822686,0.07856178946076481
W2V_014,-0.05473541878095063,0.03973565857000211,0.07693834404180633,0.029174812025684192,-0.013437436051738472,-0.00986445703959854,0.016404147108372402,-0.06940757874348236
W2V_015,-0.024439534019148935,-0.006816704987526829,-0.025253653982444453,-0.008481534910045874,0.10419264533981282,0.02985742314386819,-0.06413893303768592,0.010207138671913996
W2V_016,-0.04943861287127198,-0.02477926334339896,0.09370070095680096,0.07563976846355462,-0.07929495607125775,0.06807372307193393,0.061316953887445264,0.035594521466066786
W2V_017,-0.08765134706276127,0.0733483315516328,0.048198688348209624,0.019677452968087608,-0.024116716173320257,0.042651359381848775,-0.017474969567795873,0.08081532778188821
W2V_018,0.025179271204722378,0.06045754695919038,0.01608945628893281,0.10045759190799126,0.042884842558252964,0.007283343050113716,0.025122048091336557,0.005222576113547463
W2V_019,-0.006309123016530883,0.01480414015187849,0.023005462994093513,0.007906819647647924,0.026618885346036528,-0.01719191376073992,-0.056851615436016356,0.12439480959370261
W2V_020,-0.025693782855079738,0.010167598477305103,-0.03148775189829279,-0.1122464289020049,0.06649003603185,0.00482456678973197,0.07219242420665642,-0.05820597848334885
W2V_021,0.0344186898557801,-0.008660011755712778,0.06020893512158513,-0.06477924385565975,-0.14956015094245426,0.006064580128154626,-0.06043947176256892,-0.010336712405718984
W2V_022,-0.039258823279298825,0.1413720086685915,-0.043978601660876165,-0.010092274206318136,0.051862297238632796,0.10746785083557149,-0.0319474020990238,0.10219296298771668
W2V_023,0.06071695825308143,0.033860651820216005,0.13515200666665858,-0.04490239237091633,-0.1414850101004411,-0.05164904706290028,0.0406994151471865,0.10460513122746332
W2V_024,-0.051462266504422455,-0.0378219190308422,-0.07236499973738962,0.06891206847205107,-0.051203803149399006,0.05317562561169405,0.008769749246893832,7.192399044628206e-05
W2V_025,-0.06731846727524118,0.05589130213962796,0.018277115798535498,-0.047908951269865926,-0.016601238359916642,-0.048924868853076384,0.026306842502986337,0.043479600467423184
W2V_026,-0.028803114598172717,-0.02751589217094418,0.003990560599165345,0.017534659286252734,-0.03257980431069112,-0.04442996588061729,0.08339862566763417,0.10512935633501486
W2V_027,-0.014807274040139397,0.031186510996205348,0.03084825919996116,0.03169732399098956,-0.021580180335451428,-0.0366802696074494,0.03100654514830588,-0.014814934340538188
W2V_028,0.05653817878519434,0.028777046525791404,-0.06350381575517143,0.034890745191368304,0.015237243978335386,0.03429848082478829,0.028598659513927975,-0.005075213699158224
W2V_029,0.013771405904892356,0.06885678535879458,0.035639150648981224,-0.014488679437239667,-0.05040264893109991,-0.10378657564290673,-0.10234372877473548,0.01445993339261575
W2V_030,-0.12539210242500523,0.05285902904476465,-0.016971035569270123,0.05534920966085872,-0.09425387099877135,0.012719682249894466,0.05181525966640483,0.0821083189689275
W2V_031,-0.10247843955222635,0.009901811328162986,0.04353866814242974,-0.0672544521842318,0.01176996127746975,0.020711894839832847,0.017636281612404082,-0.040328603602105065
W2V_032,0.0865721279853855,0.07837597762021599,-0.015841430805219738,0.027324551693243857,-0.008446188693814173,0.028989408744887327,0.006011338513405791,0.131702578600884
W2V_033,0.054207049211525825,0.009229792302243437,-0.08058873595305925,0.04024330954333422,-0.024424459498248365,-0.007221783482638438,-0.016576576263542125,0.11613348937148806
W2V_034,-0.010825089161823226,-0.04615598946990722,0.10694443481279305,0.06288249542563454,0.07062701598285684,0.09595710079052407,0.04240423579584359,-0.02682875918080806
W2V_035,-0.07726573644769555,0.009955483490843069,0.02618784467014663,-0.008328533926130628,0.024122501101233953,0.16143742629841684,-0.03951807559819614,0.047418983853158694
W2V_036,-0.05030506433211511,-0.02912237420610035,0.025632011753697986,0.05631791222049477,-0.068998381514927,-0.04407911588650298,0.03311040023092003,0.09373286390477678
W2V_037,0.04607654427834346,0.04891035078698649,0.10544569315352136,-0.011857853804087727,-0.07290254790661448,0.076270916454044,-0.00821632460896985,-0.0476208024702879
W2V_038,0.009912352637652931,-0.01345347054332642,-0.0015275482137437901,0.04581525244593915,-0.14133002657409632,0.08705980872291086,-0.13391528423865437,0.009754555128183672
W2V_039,-0.046557201381077044,-0.03472528713924325,0.023771109541634423,0.09947204390861052,0.023824465011792424,-0.09264928599133446,0.055488858329855416,0.07355959149195553
W2V_040,0.02311402640586456,0.07527695849543051,0.022877016803477715,-0.045006317427618625,-0.015836448780341232,-0.1086524820792073,0.0849533568336228,0.0487389435242037
W2V_041,-0.0478143507458463,0.014518138687649467,0.009318549653152135,0.14434104249059468,0.0037971968569372825,-0.09544078106700779,0.0840485550391456,0.08307771391205365
W2V_042,-0.02943084195436695,-0.15535169765231274,0.023122156402246803,0.03247674508717527,0.04337293100273389,0.0618481406725434,-0.04512620669783836,-0.11935146485933391
W2V_043,0.04267115931247084,0.10221887436017049,-0.004390193569032265,-0.03513042730161433,-0.07490698088532892,-0.061793098860457925,-0.031853553227240816,0.034892056914361126
W2V_044,-0.0005754756412842119,-0.12227844991781812,0.01629646411425813,0.0653721226615504,0.10092374764760814,0.04150684043802998,-0.0025407466654516183,0.09045954876484276
W2V_045,0.07942165524135764,0.05008434236735367,0.024800214052953472,0.040079989533210986,0.09932529303605042,0.04526441567949695,-0.04314097089227583,-0.021121647899482947
W2V_046,-0.013918749034363392,0.10214033540113772,0.0478096072148684,0.010062176323625441,-0.03730305227188488,0.025263434924795547,-0.1626067972362241,0.034375235466641216
W2V_047,0.0024653521732172896,-0.07893701562899003,-0.022632533518016865,0.0403242785815684,-0.02253332749296742,-0.09237725066822397,-0.053786204973147456,0.09092438112960993
W2V_048,0.02300412590051915,-0.036595947792203896,0.013718445601328148,6.24709063120998e-05,0.021993411248256566,-0.021976390777673552,0.047865902213563814,0.030585861760905934
W2V_049,0.053949184699461375,0.1319662150412524,-0.1616120537873653,0.0704147932003014,0.052532863973344016,0.03508553090925518,-0.028162246859436975,0.0929865659675071
W2V_050,0.030675477762917278,0.04440053286684877,0.020945573987374046,-0.05119455672160333,-0.0392045727664893,0.014081347732743539,-0.01726483780370085,0.07590496064722095
W2V_051,-0.04124229798836965,-0.10173951893381224,-0.05512096700500084,-0.0912825844456521,0.06574373410892184,-0.1086853536281442,0.010999669647487997,0.02077320293617709
W2V_052,0.009524834654527688,0.09575515859491486,0.039614564734936845,0.03217858011523605,0.0037554631126464444,-0.05351913786331475,0.019051428480729004,0.14510435441758546
W2V_053,0.05582690067075796,0.055507489656598866,0.0009099648274020324,-0.14343296913442685,0.024923466820697376,0.016235173991142885,0.01211618344997955,-0.012732312917268397
W2V_054,-0.018114942732809294,0.02364746975789053,0.08171941763950716,-0.04226493691788635,0.042709579917154426,-0.07645049091313336,-0.04015746249826854,0.07815821477529312
W2V_055,0.05395893141826297,0.03616154664235085,-0.010768879518311259,0.09606011236929618,-0.005642175429000107,0.02510681870076952,-0.1050802789405139,-0.0014766519944893986
W2V_056,-0.07447740179587703,0.0362148188396762,-0.04726914068024662,0.1076171719331685,0.014450544328080009,0.041383083215919485,-0.03183488148593894,-0.044910528485386486
