index,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
Dominance_NRC,,,,,,,,
Consistency_Token_FF_C,,,,,,,,
Consistency_Type_FF_C,,,,,,,,
Consistency_Token_FB_O,,,,,,,,
Consistency_Type_FB_O,,,,,,,,
Consistency_Type_FF_O,,,,,,,,
Consistency_Token_FF_O,,,,,,,,
ROOT1_PFMF,,,,,,,,
ROOT1_FamSize,,,,,,,,
ROOT1_Freq_HAL,,,,,,,,
