factor,feature,comparison,tent_lag_s,n_runs,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,4.5,213,0.0047967419681031985,0.013997399721162738,-0.05879325709386031,0.08920680492490145
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,6.0,213,-0.01152634119662399,-0.011621892730526915,-0.0734386648557328,0.06295705557274518
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,7.5,213,-0.00669327599274683,-0.008660323706668046,-0.05053145467496089,0.05546193369203731
F1_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,213,-0.015190596667386511,-0.02738018716357028,-0.22166153912534672,0.06752651062758268
F1_n8,zero_crossing_rate,collapsed_factor_vs_raw_feature,,213,-0.005598103183624514,-0.026340914897687636,-0.1261285888131702,0.07884691093402885
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,1.5,213,-0.004792850980091465,-0.02442719924516538,-0.06040982235924738,0.06937696216359049
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,3.0,213,-0.01732050235275807,-0.04603727886288811,-0.09416406433744957,0.04256520893322755
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,4.5,213,-0.009583552069749835,-0.023395335068964976,-0.1140288990893995,0.048275992402316614
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,6.0,213,0.009424558694892593,-0.013153162631251375,-0.06551657976636252,0.08524578533819711
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,7.5,213,0.011812913110993443,0.004160144753409728,-0.04052540752026678,0.0653355422313537
F2_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,213,0.058178234364003795,0.059123186894750476,-0.10394326104612724,0.12801593414174847
F2_n8,peak_amplitude,collapsed_factor_vs_raw_feature,,213,0.0349218758276889,0.019155967655767204,-0.07103749765205603,0.12209460641669546
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,1.5,213,0.04760344204335491,0.03214044758854804,-0.010052797104454251,0.10376612290056074
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,3.0,213,0.02604852580637722,0.010976337323444512,-0.059190779286221684,0.07293235394615764
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,4.5,213,0.011014250120511323,0.005419284060274633,-0.04621893491145116,0.058816330462890296
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,6.0,213,0.017127687751747146,-0.002203854351421026,-0.061722218206348524,0.07383476897231775
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,7.5,213,-0.0007368314569628598,-0.007463136176642147,-0.05571412362943597,0.10195407577905462
F2_n8,rms,collapsed_factor_vs_matching_FIR_feature,,213,0.05434563521850465,0.060656872008582184,-0.10104091628144539,0.13960292505908256
F2_n8,rms,collapsed_factor_vs_raw_feature,,213,0.031240939137991874,0.015435159657937786,-0.07128023551143023,0.12622506590916197
F2_n8,rms,individual_TENT_column_vs_raw_feature,1.5,213,0.046288229632796295,0.028169301406629942,-0.014143917399154503,0.0929593195674776
F2_n8,rms,individual_TENT_column_vs_raw_feature,3.0,213,0.023682065633863287,0.007658568589538311,-0.06020945106544831,0.06710882156766768
F2_n8,rms,individual_TENT_column_vs_raw_feature,4.5,213,0.01217693567612119,0.0051393650199196795,-0.04513472124004905,0.06313142799189551
F2_n8,rms,individual_TENT_column_vs_raw_feature,6.0,213,0.011335902288285831,-0.0072547365855054,-0.0627903372134637,0.06192158262044963
F2_n8,rms,individual_TENT_column_vs_raw_feature,7.5,213,-0.003602864189064922,-0.008668229315373852,-0.05826518938112635,0.09123952330568741
F2_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,213,0.06837491508727724,0.10241112153077553,-0.03755103426956518,0.1541401945973439
F2_n8,rms_dbfs,collapsed_factor_vs_raw_feature,,213,0.03336932227331524,0.02922842225481517,-0.04865104012902956,0.15515903883382381
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,1.5,213,0.04134107542955184,0.03566411361279167,-0.00952221451425523,0.07591712047823543
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,3.0,213,0.028540933112223946,0.02908809916535554,-0.030139486097756796,0.09266964079771815
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,4.5,213,0.004780135371209336,0.027862079644004147,-0.07833832832275653,0.07112122335192542
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,6.0,213,0.015417050825915548,0.016131881347907214,-0.055517227232716466,0.07645312952919092
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,7.5,213,0.006292273693227022,0.002658819446211122,-0.05344657795415782,0.11134635297518486
F2_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,213,-0.006259823589803263,-0.013793976091856827,-0.07973379952062488,0.20308402656072957
F2_n8,spectral_bandwidth_hz,collapsed_factor_vs_raw_feature,,213,0.0028945111362461353,0.010176674701933178,-0.12936800259946502,0.1016760322451752
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,1.5,213,-0.016732596824168024,-0.006753602881680719,-0.09861606166517765,0.05572166024807647
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,3.0,213,0.0011771561013574465,0.005596027757285394,-0.08672180955336216,0.051300840505302626
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,4.5,213,0.013380569699469328,-0.006017752845952777,-0.06826615651480734,0.0982401486875319
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,6.0,213,0.0024129617080291357,-0.004086401861289289,-0.08936283979513976,0.08351007862911448
F2_n8,spectral_bandwidth_hz,individual_TENT_column_vs_raw_feature,7.5,213,0.00884603039048548,0.013150474976290186,-0.05394657593945838,0.06041283531509838
F2_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,213,0.03252941512553378,0.054215264443377244,-0.05620563684981325,0.1946025513944595
F2_n8,spectral_centroid_hz,collapsed_factor_vs_raw_feature,,213,0.0023301102352837324,0.03055071127772952,-0.10115873629072986,0.09448648815147469
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,1.5,213,-0.000996001901476096,0.007849181831103698,-0.10362062253531709,0.054105609480033005
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,3.0,213,0.008446067430408493,0.022069548830704395,-0.02842247226158804,0.05458172892265632
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,4.5,213,0.006190704188247878,0.014643760020077943,-0.060543318552681906,0.06594228245272998
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,6.0,213,0.000434044762407115,0.02815853979304867,-0.10888104120163193,0.07344125377429073
F2_n8,spectral_centroid_hz,individual_TENT_column_vs_raw_feature,7.5,213,-0.00527237945367078,0.006515511647971216,-0.12044506176492543,0.04626412021098934
F2_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,213,-0.03288101089275768,-0.047209374034702455,-0.11559278224529863,0.05994875820681057
