factor,feature,comparison,tent_lag_s,n_narratives,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,7.5,10,0.009523359469945153,0.006114519812255209,-0.05243035030953832,0.07298513416343028
F1_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,10,0.0615778701929388,0.08282507865939785,-0.03618699094067821,0.14591212579320215
F1_n8,word_count_per_tr,collapsed_factor_vs_raw_feature,,10,0.008414704587746779,0.016150251476979897,-0.08603003938474703,0.07520708859926838
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,1.5,10,0.0012783061545195418,-0.006759598605917025,-0.05645259542475928,0.056153113549782446
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,3.0,10,0.019550299865480028,0.010541468861476881,-0.06655300317574252,0.06701788058133423
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,4.5,10,0.015726109110250977,0.02051232280248841,-0.058793257093860324,0.08920680492490149
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,6.0,10,-0.008625201709207246,-0.007255611612084371,-0.0734386648557328,0.06295705557274515
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,7.5,10,-0.00864783411764717,-0.0025516339155063432,-0.050531454674960966,0.05546193369203731
F1_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,10,-0.03803823509800377,-0.06195008868816257,-0.2157376814795123,0.0675265106275827
F1_n8,zero_crossing_rate,collapsed_factor_vs_raw_feature,,10,-0.016058753835939642,-0.03853857195342186,-0.12612858881317032,0.07872495999509248
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,1.5,10,-0.009289498181309756,-0.0229993003850319,-0.06040982235924735,0.0693769621635905
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,3.0,10,-0.026759639426153774,-0.05185022955970737,-0.09416406433744963,0.042565208933227565
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,4.5,10,-0.019179456789496174,-0.03403259058562674,-0.11402889908939949,0.048275992402316635
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,6.0,10,0.00421830411677586,-0.017242541226587894,-0.06551657976636256,0.08524578533819714
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,7.5,10,0.013456143720891486,0.006743530494079436,-0.040525407520266774,0.06456995929421108
F2_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,10,0.031045351848281517,0.03373011631262017,-0.10231441649174065,0.12801593414174842
F2_n8,peak_amplitude,collapsed_factor_vs_raw_feature,,10,0.022711915168456998,0.012022192736223382,-0.07040039806345207,0.12209460641669552
