factor,feature,comparison,tent_lag_s,n_narratives,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F3_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,10,-0.0094845317748876,-0.0132745793980693,-0.064307487197358,0.0770221510325575
F7_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,10,-0.0093453996844685,-0.0070970375305676,-0.0436681529032124,0.0350296327279777
F8_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,10,-0.0093045127479164,-0.0640129228550559,-0.1335214119150665,0.0628361132243137
F3_n8,rms,collapsed_factor_vs_matching_FIR_feature,,10,0.0089200248438996,0.0071205935812931,-0.0651139012052305,0.1286058417474396
F4_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.0077751517103967,-0.0356074561995255,-0.0505202209647443,0.0509912557141842
F4_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,10,0.0075767747390058,-0.0035494142951328,-0.0626577094579207,0.0645046865992611
F4_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,10,0.0075652979406075,0.0134249036404804,-0.0696964385597907,0.1183417904557183
F6_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,10,-0.0074059056592052,-0.0449576510879024,-0.1073219312691258,0.0705187668035838
F3_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,10,-0.0070112525409271,-0.0499406844308924,-0.1318355054041443,0.0925303419801973
F1_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,10,0.0058573398991519,-0.0157016852958769,-0.060857954784012,0.0559784179147992
F3_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.0049275925011123,-0.0106315123682904,-0.0783785203789655,0.0966551884399758
F8_n8,spectral_flatness,collapsed_factor_vs_matching_FIR_feature,,10,0.004394118110637,0.0311947119073178,-0.0431181373222176,0.0523598583779081
F8_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.0037587783744699,0.0006689938096474,-0.0564494879570112,0.0766117894226201
F3_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,10,-0.0036154714951785,-0.0487374413550377,-0.1208682151164961,0.1056491587673062
F6_n8,spectral_rolloff_85_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.0027907612755379,-0.0225874364478348,-0.0852340858170098,0.0952316614704375
F3_n8,spectral_flux,collapsed_factor_vs_matching_FIR_feature,,10,-0.0020101819833506,-0.0214969237346117,-0.0558846442726374,0.0670742215394157
F6_n8,spectral_centroid_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.0015356500385625,-0.0261089712205184,-0.1056251889892279,0.0902449828280861
F5_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.0003541299405046,-0.0195755046510926,-0.0850989408398696,0.0774293275129525
F6_n8,rms,collapsed_factor_vs_matching_FIR_feature,,10,-8.545600655138318e-05,0.0067903168123071,-0.0957414674875357,0.0870021783085895
