factor,feature,p_value,q_bh,significant_q05
F7_n8,rms,0.07861563735152488,0.3473222405268042,False
F7_n8,rms_dbfs,0.049435403095406456,0.32679967326036674,False
F7_n8,spectral_bandwidth_hz,0.036204754283255335,0.32679967326036674,False
F7_n8,spectral_centroid_hz,0.04640690501062215,0.32679967326036674,False
F7_n8,spectral_flatness,0.2991224189649806,0.47859587034396894,False
F7_n8,spectral_flux,0.06501667301860722,0.32679967326036674,False
F7_n8,spectral_rolloff_85_hz,0.082489032125116,0.3473222405268042,False
F7_n8,word_count_per_tr,0.00010916409043971216,0.008733127235176972,True
F7_n8,zero_crossing_rate,0.047753732593160785,0.32679967326036674,False
F8_n8,peak_amplitude,0.4022347341293012,0.595903309821187,False
F8_n8,rms,0.5480736047161355,0.7279168694149155,False
F8_n8,rms_dbfs,0.23520276452862435,0.4335681433962782,False
F8_n8,spectral_bandwidth_hz,0.7632184893560123,0.8364038239517944,False
F8_n8,spectral_centroid_hz,0.16435540568687573,0.4206161278012533,False
F8_n8,spectral_flatness,0.6154229480797597,0.7482530592212706,False
F8_n8,spectral_flux,0.12590731533025107,0.4029034090568034,False
F8_n8,spectral_rolloff_85_hz,0.23846247886795302,0.4335681433962782,False
F8_n8,word_count_per_tr,0.5777794090520754,0.7341943204536154,False
F8_n8,zero_crossing_rate,0.16614931808632194,0.4206161278012533,False
