factor,feature,comparison,tent_lag_s,n_runs,mean_pearson_r,mean_spearman_rho,min_pearson_r,max_pearson_r
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,4.5,10,-0.015769134822927848,-0.03004110175421491,-0.09837823748055494,0.039575099056342156
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,6.0,10,0.0010959756199401109,-0.021217927955019283,-0.06314606044631271,0.08826858658460211
F1_n8,spectral_rolloff_85_hz,individual_TENT_column_vs_raw_feature,7.5,10,0.009557148785937147,0.006454510427219657,-0.0524303503095383,0.0734210106928386
F1_n8,word_count_per_tr,collapsed_factor_vs_matching_FIR_feature,,10,0.061665892198221696,0.08294180752407945,-0.0361869909406782,0.14651669363197792
F1_n8,word_count_per_tr,collapsed_factor_vs_raw_feature,,10,0.00846199888726228,0.01627501259414523,-0.08603003938474706,0.0752070885992684
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,1.5,10,0.0012952253087549956,-0.006710183599718527,-0.0562771248121117,0.056153113549782495
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,3.0,10,0.01953877904150835,0.010553904652847768,-0.06655300317574257,0.06701788058133426
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,4.5,10,0.015730048369167585,0.02052663631889708,-0.05879325709386031,0.08920680492490145
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,6.0,10,-0.008580817043261961,-0.0070818007169732,-0.0734386648557328,0.06295705557274518
F1_n8,word_count_per_tr,individual_TENT_column_vs_raw_feature,7.5,10,-0.008541517660017614,-0.0022333589642246653,-0.05053145467496089,0.0554619336920373
F1_n8,zero_crossing_rate,collapsed_factor_vs_matching_FIR_feature,,10,-0.03832559633922886,-0.06223080208179352,-0.2177123006947905,0.06752651062758268
F1_n8,zero_crossing_rate,collapsed_factor_vs_raw_feature,,10,-0.016093141436966715,-0.0384377126005332,-0.1261285888131702,0.07867074023000449
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,1.5,10,-0.009340028446842862,-0.022969480453200634,-0.06040982235924738,0.06908176473589082
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,3.0,10,-0.026777948545099437,-0.05180718443639068,-0.09416406433744957,0.04256520893322755
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,4.5,10,-0.019208432577276568,-0.033996759495661576,-0.1140288990893995,0.048275992402316614
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,6.0,10,0.004183170510682751,-0.017092911168547328,-0.06551657976636252,0.08524578533819711
F1_n8,zero_crossing_rate,individual_TENT_column_vs_raw_feature,7.5,10,0.013498274007315732,0.0070936436252286355,-0.04052540752026678,0.06507367557405193
F2_n8,peak_amplitude,collapsed_factor_vs_matching_FIR_feature,,10,0.030998097798931205,0.03359471045614752,-0.10285736467653615,0.12801593414174847
F2_n8,peak_amplitude,collapsed_factor_vs_raw_feature,,10,0.022686858937926945,0.011851559974195895,-0.07059108693155651,0.12209460641669546
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,1.5,10,0.0312895458367437,0.021421162128464705,-0.0100453758923899,0.10376612290056073
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,3.0,10,0.012830563946738276,0.0007851231337814529,-0.05880033684791022,0.07293235394615764
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,4.5,10,0.0052396058394547,0.003558654784649168,-0.04591406099059523,0.058816330462890296
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,6.0,10,0.014738468233336917,0.00232316284541165,-0.06144833900658507,0.07383476897231775
F2_n8,peak_amplitude,individual_TENT_column_vs_raw_feature,7.5,10,0.0012960407513780206,-0.009975382037716701,-0.05486744182780074,0.10195407577905462
F2_n8,rms,collapsed_factor_vs_matching_FIR_feature,,10,0.03072665754027278,0.03858126883410864,-0.1000603003589207,0.13960292505908256
F2_n8,rms,collapsed_factor_vs_raw_feature,,10,0.020846259630337722,0.010884818011137914,-0.07084387182326926,0.12622506590916197
F2_n8,rms,individual_TENT_column_vs_raw_feature,1.5,10,0.03189010342649212,0.020080649417875327,-0.014143917399154503,0.0929593195674776
F2_n8,rms,individual_TENT_column_vs_raw_feature,3.0,10,0.012395996620873132,0.0006726581753356714,-0.05982541075541617,0.06710882156766768
F2_n8,rms,individual_TENT_column_vs_raw_feature,4.5,10,0.007089487807038352,0.004683688830890231,-0.04495385898418782,0.06313142799189551
F2_n8,rms,individual_TENT_column_vs_raw_feature,6.0,10,0.010193960887808886,-1.5232107126976668e-05,-0.0627903372134637,0.06192158262044963
F2_n8,rms,individual_TENT_column_vs_raw_feature,7.5,10,-0.0019748374820896084,-0.011421130854340064,-0.05742903013829635,0.0912395233056874
F2_n8,rms_dbfs,collapsed_factor_vs_matching_FIR_feature,,10,0.048133833493601716,0.06897461475822486,-0.03689399724428108,0.1541401945973439
F2_n8,rms_dbfs,collapsed_factor_vs_raw_feature,,10,0.020129417968791762,0.013515347450635604,-0.04865104012902956,0.15515903883382381
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,1.5,10,0.029619845093274977,0.023263324629463206,-0.00952221451425523,0.07591712047823543
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,3.0,10,0.015358466708748788,0.010354113412979609,-0.030139486097756796,0.09266964079771815
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,4.5,10,-0.0054491966216438075,0.015742803063436863,-0.07833832832275653,0.07112122335192542
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,6.0,10,0.012941034598929603,0.014393923142766097,-0.055206845454798405,0.07645312952919094
F2_n8,rms_dbfs,individual_TENT_column_vs_raw_feature,7.5,10,0.007265688848971215,-0.004246368678121223,-0.05344657795415782,0.11134635297518486
F2_n8,spectral_bandwidth_hz,collapsed_factor_vs_matching_FIR_feature,,10,0.012716569585162337,0.004286265553491157,-0.07973379952062488,0.19927132473884457
F2_n8,spectral_bandwidth_hz,collapsed_factor_vs_raw_feature,,10,0.01355257051472654,0.017237600938530964,-0.12936800259946502,0.1006692297636022
